country; title; title_type; info
UNITED ARAB EMIRATES;BACHELOR OF SCIENCE;Β(6);
AFGHANISTAN;BACHELOR OF ARTS ( 4 χρόνια);B (6);
AFGHANISTAN;BACHELOR OF SCIENCE ( 4 χρονια);B (6);
AFGHANISTAN;BACHELOR OF ENGINEERING;I  (7);
AFGHANISTAN;BACHELOR OF VETERINARY MEDICINE;I  (7);
AFGHANISTAN;MEDICAL DOCTOR;I  (7);
AFGHANISTAN;MASTER;I  (7);
ALBANIA;DIPLOME BACHELOR (2-4  χρονια);B (6);
ALBANIA;DIPLOME (παλαιού τύπου);B (6);
ALBANIA;DIPLOME  MASTER  /  MASTER I SHKENCAVE (Master of science) /MASTER I ARTEVE (Master of arts /1-2 χρονια);I (7);
ALBANIA;DIPLOME MASTER I SHKENCAVE CIKEL I INTEGRUAR (Master of Science integrated cycle) (5-6 χρόνια);B (7);
ALBANIA;DIPLOME E  NINELIT TE PARE     (Bachelor -παλαιού τύπου);B (6);
ALBANIA;DIPLOME E  NINELIT TE PARE     (Master παλαιού τύπου);I (7);
ALBANIA;Doktor i Shkencave (PhD);D (8);
ALBANIA;DIPLOM DIND NE FINANCE ;B (7);
ALGERIA;LICENCE;B (6);
ALGERIA;MASTER;I  (7);
ALGERIA;DOCTORAT;D (8);
ARGENTINA;LICENCIADO;B (6);
ARGENTINA;MAGISTER POSGRADO;I  (7);
ARGENTINA;DOCTORADO;D (8);
ARGENTINA;INGENIERO QUIMICO;B(6);
ARMENIA;BACHELOR ( 4 χρονια);B (6);
ARMENIA;DIPLOMA ( 5 χρονια- παλαιού τύπου);B (6);
ARMENIA;MASTER;I  (7);
ARMENIA;MEDICAL DOCTOR;I  (7);
ARMENIA;CANDIDATE OF SCIENCE;D (8);
ARMENIA;MASTER’S DEGREE OF MEDICINE (MD PHYSICIAN);Β (7);
AUSTRALIA;BACHELOR DEGREE ( 3 χρονια);B (6);
AUSTRALIA;BACHELOR DEGREE HONOURS ( 4 χρονια);B (6);
AUSTRALIA;JURIS DOCTOR (JD);B (6);
AUSTRALIA;MASTER DEGREE;I  (7);
AUSTRALIA;DOCTOR OF PHILOSOPHY (PH.D);D (8);
AUSTRALIA;BACHELOR OF MEDICAL LABORATORY SCIENCE;;
BAHRAIN;BACHELOR'S DEGREE;B (6);
BAHRAIN;MASTER'S DEGREE;I (7);
BAHRAIN;DOCTOR'S DEGREE ;D (8);
BANGLADESH;BACHELOR' S DEGREE ;B (6);
BANGLADESH;MASTER'S DEGREE;I  (7);
BANGLADESH;BACHELOR OF PHILOSOPHY;I  (7);
BANGLADESH;DOCTORAL DEGREE (PH.D);D (8);
BELARUS; DIPLOM ή VYSHEM OBRAZOVANII ;B(6);
BELARUS; MAGISTRATURA;I(7);
BELARUS;ASPIRANTURA ή  DOKTORANTURA;D(8);
BELGIQUE;BACHELOR;B (6);
BELGIQUE;BACHELOR OF ART;B (6);
BELGIQUE;MASTER;I  (7);
BELGIQUE;DOCTOR ( PhD) (4 y);D (8);
BELGIQUE;LICENCE SPECIALE EN ETUDES POLITIQUES  EUROPEENNES;I (7);
BELGIQUE;DOCTEUR EN MEDECINE, CHIRURGIE ET ACCOUCHEMENTS;B (6);
BOSNIA AND HERZEGOVINA;BACHELOR (3-4 χρονια);B (6);
BOSNIA AND HERZEGOVINA;INTEGRATED MASTER (5-6 χρονια);B (7);
BOSNIA AND HERZEGOVINA;SECOND CYCLE MASTER (1-2 χρονια);I (7);
BOSNIA AND HERZEGOVINA;THIRD CYCLE (PhD);D (8);
BRAZIL;BACHAREL/LICENCIADO;B (6);
BRAZIL;MESTRE;I (7);
BRAZIL;DOUTOR;D (8);
BULGARIA;DIPLOMA (BAKALAVR);B (6);
BULGARIA;DIPLOMA MAGISTR ( παλαιού ενιαίου τύπου);B (6);
BULGARIA;DIPLOMA MAGISTR ( Ιατρικής απο 300 ECTS και πάνω);I  (7);
BULGARIA;DIPLOMA- MASTER  (1-2 χρονια, 60-120 ECTS);I  (7);
BULGARIA;DOCTOR;D (8);
CAMEROON;LICENCE ( 3 χρονια);B (6);
CAMEROON;MAITRISE (4 χρονια);I  (7);
CAMEROON;DOCTORAT (PH.D.);D (8);
CAMEROON;BACHELOR'S DEGREE/LICENSE;Β(6);
CAMEROON;MASTER'S DEGREE;I (7);
CAMEROON; DOCTOR OF PHILOSOPHY/ DOCTORAT;D (8);
CANADA;BACHELOR'S DEGREE ( 3 χρονια);B (6);
CANADA;BACHELOR HONOURS ( 4 χρονια);B (6);
CANADA;MASTER'S DEGREE;I  (7);
CANADA;DOCTOR OF PHILOSOPHY (PH.D.);D (8);
CANADA;DOCTOR OF MEDICINE (MD) (4  χρονια);B (7);
CANADA;DOCTOR OF DENTAL SURGERY (DDS) (4  χρονια);B (7);
CHILE;LICENCIADO;B (6);
CHILE;MAGISTER;I  (7);
CHILE;DOCTOR;D (8);
CHINA;BACHELOR'S DEGREE;B (6);
CHINA;MASTER'S DEGREE;I  (7);
CHINA;DOCTOR'S DEGREE;D (8);
COLOMBIA;LICENCIADO;B (6);
COLOMBIA;MAGISTER;I  (7);
COLOMBIA;DOCTOR;D (8);
COSTA RICA;BACHILLERATO;B (6);
COSTA RICA;LICENTIATURA ( 5 χρονια);I  (7);
COSTA RICA;MAESTRIA (1-2 χρονια);I  (7);
COSTA RICA;DOCTORADO;D (8);
CÔTE D'IVOIRE;LICENCE;B(6);
CÔTE D'IVOIRE;DIPLÔME D'INGÉNIEUR;B(6);
CÔTE D'IVOIRE;DIPLÔME D'ETUDES APPROFONDIES;I(7);
CÔTE D'IVOIRE;MASTER;I(7);
CÔTE D'IVOIRE;DOCTORAT;D(8);
CROATIA;UNIVERSITY BACCALAUREUS/BACCALAUREA (3-4 χρονια);B (6);
CROATIA;MAGISTAR/MAGISTRA/SVEUCILI?NI SPECILALIST (1-2 χρονια);I (7);
CROATIA;MAGISTAR/MAGISTRA (5-6 Ýôç);B (7);
CROATIA;DOCTOR ZNANOSTI/DOCTOR UMJETNOSTI (PhD) (3 χρονια);D (8);
CYPRUS;BACHELOR - ΠΤΥΧΙΟ;B (6);
CYPRUS;MASTER - ΜΕΤΑΠΤΥΧΙΑΚΟ ΔΙΠΛΩΜΑ;I  (7);
CYPRUS;ΔΙΔΑΚΤΟΡΙΚΟ ΔΙΠΛΩΜΑ;D (8);
CYPRUS;DOCTOR OF MEDICINE (MD);B (6);
CZECH REPUBLIC;DIPLOM INZENYR;B (6);
CZECH REPUBLIC;BACALAR (Bc.)/BAKALARSKY;B (6);
CZECH REPUBLIC;MAGISTR - (Β Κύκλου)/MAGISTERSKY;I  (7);
CZECH REPUBLIC;MAGISTR (5-6 χρονια);B (7);
CZECH REPUBLIC;DOKTOR / DOKTORSKY;D (8);
DENMARK;DIPLOMINGENIOR;B (6);
DENMARK;BACHELOR'S DEGREE (BA/BSc)       (3 χρονια);B (6);
DENMARK;MASTER CANDIDATUS (cand.) / Masters degree (MA/MSc) (2 χρονια);I  (7);
DENMARK;DOKTORGRAD/ PhD;D (8);
DEUTSCHLAND;BACHELOR ARCHITEKTUR;B (6);
DEUTSCHLAND;BACHELOR IN BUSINESS ADMINISTRATION;B (6);
DEUTSCHLAND;BACHELOR OF ARTS (B.A.);B (6);
DEUTSCHLAND;BACHELOR OF SCIENCE (B.Sc);B (6);
DEUTSCHLAND;BACHELOR OF SCIENCE BAUINGENIEURWESEN;B (6);
DEUTSCHLAND;DIPLOM (4-5  χρονια);B (6);
DEUTSCHLAND;ERSTE STAATSPRUFUNG;B (6);
